location,total_sqft,bath,balcony,price,bhk,price_per_sqft
2nd Stage Nagarbhavi,1200.0,4.0,2.0,240.0,5,20000.0
5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,5581.395348837209
5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2,4565.217391304348
5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2,5000.0
5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2,5219.552609776305
5th Phase JP Nagar,1400.0,2.0,1.0,88.0,3,6285.714285714285
5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3,5882.35294117647
5th Phase JP Nagar,1485.0,2.0,2.0,67.0,3,4511.784511784512
5th Phase JP Nagar,600.0,1.0,1.0,30.0,1,5000.0
5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2,4676.258992805755
5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2,5000.0
5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2,4800.0
5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3,5555.555555555556
5th Phase JP Nagar,552.0,1.0,1.0,23.5,1,4257.246376811594
5th Phase JP Nagar,1200.0,2.0,2.0,51.0,2,4250.0
5th Phase JP Nagar,1240.0,3.0,2.0,60.0,3,4838.709677419355
5th Phase JP Nagar,1550.0,3.0,3.0,75.0,3,4838.709677419355
5th Phase JP Nagar,1485.0,2.0,1.0,66.0,3,4444.444444444444
5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2,5533.980582524272
5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2,5666.666666666667
5th Phase JP Nagar,1190.0,2.0,2.0,61.8,2,5193.27731092437
5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2,4907.407407407408
5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2,5187.319884726225
5th Phase JP Nagar,812.0,2.0,1.0,42.0,2,5172.413793103448
5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2,5643.564356435643
5th Phase JP Nagar,1450.0,2.0,2.0,73.0,3,5034.482758620689
5th Phase JP Nagar,2500.0,8.0,3.0,95.0,7,3800.0
5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,5581.395348837209
6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,6208.053691275168
6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2,6779.661016949152
6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3,6079.0273556231
6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2,5701.754385964912
6th Phase JP Nagar,1650.0,6.0,2.0,135.0,8,8181.818181818182
6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2,5193.734542456719
6th Phase JP Nagar,1170.0,2.0,2.0,120.0,2,10256.410256410256
6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2,4934.210526315789
6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3,8910.89108910891
6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2,6291.946308724832
6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2,6875.0
7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6666.666666666667
7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,7322.834645669292
7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3,7042.2535211267605
7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2,7550.2008032128515
7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2,6978.723404255319
7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,6785.714285714285
7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2,6761.9047619047615
7th Phase JP Nagar,1100.0,2.0,0.0,46.0,2,4181.818181818182
7th Phase JP Nagar,918.0,2.0,1.0,50.49,2,5500.0
7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3,6896.551724137931
7th Phase JP Nagar,1070.0,2.0,1.0,42.79,2,3999.0654205607475
7th Phase JP Nagar,1190.0,2.0,1.0,49.98,2,4200.0
7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3,6760.56338028169
7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3,7142.857142857143
7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2,4000.0
7th Phase JP Nagar,980.0,2.0,2.0,69.0,2,7040.816326530612
7th Phase JP Nagar,1035.0,2.0,1.0,41.39,2,3999.0338164251207
7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2,6101.6949152542375
7th Phase JP Nagar,1300.0,2.0,2.0,52.0,3,4000.0
7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3,5428.571428571428
7th Phase JP Nagar,1343.0,2.0,2.0,56.41,3,4200.297840655249
7th Phase JP Nagar,1405.0,2.0,2.0,59.01,3,4200.0
7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3,8214.285714285714
7th Phase JP Nagar,1075.0,2.0,1.0,42.99,2,3999.0697674418607
7th Phase JP Nagar,1100.0,2.0,2.0,44.0,2,4000.0
7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2,6535.433070866142
7th Phase JP Nagar,1250.0,3.0,2.0,65.0,3,5200.0
7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2,4000.0
7th Phase JP Nagar,1385.0,2.0,2.0,58.17,3,4200.0
7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984
7th Phase JP Nagar,1370.0,2.0,2.0,54.79,3,3999.2700729927005
7th Phase JP Nagar,1370.0,2.0,1.0,54.79,3,3999.2700729927005
7th Phase JP Nagar,1300.0,2.0,2.0,52.0,3,4000.0
7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3,7619.047619047619
7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3,7142.857142857143
7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2,7021.276595744681
7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2,7407.407407407408
7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143
7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3,6856.153846153846
7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2,6460.1769911504425
7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3,6896.551724137931
7th Phase JP Nagar,1350.0,3.0,2.0,58.0,3,4296.2962962962965
7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2,4761.9047619047615
7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2,6823.529411764706
7th Phase JP Nagar,1460.0,3.0,1.0,70.0,3,4794.520547945205
7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3,6666.666666666667
7th Phase JP Nagar,850.0,2.0,2.0,42.0,2,4941.176470588235
7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715
7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2,4961.974110032363
7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2,5300.0
7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3,7440.476190476191
7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2,4970.513900589722
7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2,6100.0
7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3,6849.315068493151
7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3,6666.666666666667
7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2,5208.333333333333
7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2,7065.000000000001
7th Phase JP Nagar,1070.0,2.0,2.0,42.0,2,3925.233644859813
7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2,6944.444444444444
7th Phase JP Nagar,1415.0,3.0,1.0,65.0,3,4593.639575971732
7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3,7440.476190476191
7th Phase JP Nagar,1040.0,2.0,1.0,41.59,2,3999.038461538462
7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2,4000.0
7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3,6643.835616438356
7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2,5803.571428571428
7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2,5454.545454545455
7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3,6703.91061452514
7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3,6964.285714285715
7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2,7333.333333333333
7th Phase JP Nagar,1174.0,2.0,1.0,47.0,2,4003.4071550255535
7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2,7142.857142857143
7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2,7211.538461538462
7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3,6785.714285714285
7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2,6476.190476190476
7th Phase JP Nagar,1400.0,2.0,2.0,57.0,3,4071.4285714285716
7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2,6000.0
7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3,7440.476190476191
7th Phase JP Nagar,1370.0,2.0,2.0,54.79,3,3999.2700729927005
7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2,7378.0952380952385
7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2,6299.212598425197
7th Phase JP Nagar,1463.0,2.0,1.0,61.45,3,4200.273410799727
7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3,7261.9047619047615
7th Phase JP Nagar,1070.0,2.0,1.0,42.79,2,3999.0654205607475
7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2,7522.123893805309
7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3,7738.0952380952385
7th Phase JP Nagar,1300.0,2.0,2.0,52.0,3,4000.0
7th Phase JP Nagar,980.0,2.0,1.0,77.44,2,7902.040816326531
7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3,6666.666666666667
7th Phase JP Nagar,1370.0,2.0,1.0,54.79,3,3999.2700729927005
7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3,6875.0
7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3,6901.9607843137255
7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3,7034.482758620689
7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3,6984.126984126984
7th Phase JP Nagar,1075.0,2.0,1.0,57.0,3,5302.325581395349
7th Phase JP Nagar,750.0,1.0,2.0,47.0,1,6266.666666666667
7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2,4000.0
7th Phase JP Nagar,990.0,2.0,2.0,50.0,2,5050.50505050505
7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1,6000.0
7th Phase JP Nagar,1680.0,2.0,3.0,92.0,3,5476.190476190476
7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2,4000.0
7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3,7132.867132867133
7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2,5319.148936170212
7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2,5000.0
7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3,6338.028169014085
8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5030.740568234746
8th Phase JP Nagar,451.0,1.0,0.0,29.9,1,6629.711751662971
8th Phase JP Nagar,1240.0,3.0,2.0,43.5,3,3508.064516129032
8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2,3999.0583804143125
8th Phase JP Nagar,1230.0,2.0,2.0,43.5,3,3536.5853658536585
8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3,5038.487972508591
8th Phase JP Nagar,871.0,2.0,2.0,55.0,2,6314.580941446613
8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2,3999.089253187614
8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2,3518.5185185185187
8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2,3257.790368271955
8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2,3240.740740740741
8th Phase JP Nagar,1275.0,2.0,2.0,41.5,3,3254.901960784314
8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2,3999.0583804143125
8th Phase JP Nagar,500.0,1.0,1.0,31.0,1,6200.0
8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2,3181.818181818182
8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4,4380.952380952381
8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2,3800.0
8th Phase JP Nagar,909.0,2.0,1.0,40.9,2,4499.4499449945
8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3,5031.086273140063
8th Phase JP Nagar,500.0,1.0,1.0,30.0,1,6000.0
8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2,3283.5555555555557
8th Phase JP Nagar,1200.0,3.0,2.0,110.0,4,9166.666666666666
8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2,3181.818181818182
8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,3999.0817263544536
8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3,5518.617021276596
8th Phase JP Nagar,1368.0,2.0,1.0,54.71,3,3999.2690058479534
8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2,3999.0817263544536
8th Phase JP Nagar,1224.0,2.0,2.0,48.95,3,3999.1830065359477
8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2,4545.454545454545
8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2,4373.75745526839
8th Phase JP Nagar,500.0,1.0,1.0,33.0,1,6600.0
8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2,8189.6551724137935
8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2,4738.955823293173
8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5,4335.260115606937
8th Phase JP Nagar,1296.0,2.0,2.0,51.83,3,3999.2283950617284
8th Phase JP Nagar,1275.0,3.0,2.0,45.0,3,3529.4117647058824
8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2,4588.910133843212
8th Phase JP Nagar,1269.0,2.0,3.0,50.75,3,3999.211977935382
8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3,5681.818181818182
8th Phase JP Nagar,1500.0,2.0,3.0,55.0,3,3666.6666666666665
9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2,4975.124378109453
9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2,5909.090909090909
9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2,3425.925925925926
9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2,4347.826086956522
9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2,4810.996563573884
9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2,4179.104477611941
9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2,4436.557231588287
9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2,4278.606965174129
9th Phase JP Nagar,835.0,2.0,0.0,37.0,2,4431.137724550898
9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2,3714.285714285714
9th Phase JP Nagar,660.0,2.0,0.0,27.0,2,4090.909090909091
9th Phase JP Nagar,600.0,1.0,0.0,20.0,1,3333.3333333333335
9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2,5560.704355885079
9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2,6666.666666666667
9th Phase JP Nagar,905.0,2.0,1.0,32.0,2,3535.9116022099447
9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2,4879.77632805219
9th Phase JP Nagar,1300.0,2.0,2.0,58.0,3,4461.538461538462
9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3,5913.272010512484
9th Phase JP Nagar,1571.0,3.0,2.0,65.0,3,4137.492043284532
9th Phase JP Nagar,1900.0,4.0,2.0,80.0,4,4210.526315789473
9th Phase JP Nagar,890.0,2.0,2.0,45.0,2,5056.179775280899
9th Phase JP Nagar,1240.0,2.0,2.0,39.89,3,3216.935483870968
9th Phase JP Nagar,1240.0,2.0,2.0,42.85,3,3455.6451612903224
9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2,3333.3333333333335
9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2,5180.374638687638
AECS Layout,1100.0,2.0,3.0,45.0,2,4090.909090909091
AECS Layout,1028.0,2.0,1.0,42.0,2,4085.603112840467
AECS Layout,1199.0,2.0,2.0,65.0,2,5421.184320266889
AECS Layout,1080.0,2.0,2.0,55.0,2,5092.592592592592
AECS Layout,1123.0,2.0,2.0,64.0,2,5699.020480854853
AECS Layout,1005.0,2.0,1.0,55.0,2,5472.636815920398
Abbigere,985.0,2.0,1.0,40.39,2,4100.507614213198
Abbigere,2200.0,6.0,2.0,68.0,6,3090.909090909091
Abbigere,765.0,2.0,2.0,30.0,1,3921.5686274509803
Abbigere,880.0,2.0,1.0,35.0,2,3977.2727272727275
Abbigere,795.0,2.0,1.0,32.54,2,4093.0817610062895
Abbigere,1005.0,2.0,1.0,39.59,2,3939.303482587065
Abbigere,734.0,1.0,0.0,19.82,1,2700.272479564033
Abbigere,1260.0,2.0,1.0,45.0,3,3571.4285714285716
Abbigere,1020.0,2.0,1.0,41.82,2,4100.0
Abbigere,985.0,2.0,1.0,40.39,2,4100.507614213198
Abbigere,795.0,2.0,1.0,32.54,2,4093.0817610062895
Abbigere,1130.0,2.0,1.0,46.33,2,4100.0
Abbigere,795.0,1.0,1.0,32.6,2,4100.62893081761
Abbigere,3000.0,8.0,0.0,150.0,8,5000.0
Abbigere,985.0,2.0,1.0,38.92,2,3951.269035532995
Abbigere,1000.0,2.0,1.0,41.0,2,4100.0
Abbigere,995.0,2.0,1.0,40.8,2,4100.5025125628135
Abbigere,1020.0,2.0,1.0,40.8,2,3999.9999999999995
Akshaya Nagar,1388.0,2.0,3.0,57.0,2,4106.628242074928
Akshaya Nagar,1070.0,2.0,1.0,54.0,2,5046.728971962617
Akshaya Nagar,1662.0,3.0,3.0,85.1,3,5120.336943441636
Akshaya Nagar,1410.0,2.0,2.0,75.0,3,5319.148936170212
Akshaya Nagar,1360.0,2.0,2.0,85.0,3,6250.0
Akshaya Nagar,1600.0,2.0,2.0,65.0,3,4062.5
Akshaya Nagar,1410.0,2.0,2.0,80.0,3,5673.758865248227
Akshaya Nagar,1662.0,3.0,2.0,85.0,3,5114.320096269555
Akshaya Nagar,1662.0,3.0,2.0,85.5,3,5144.404332129964
Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4687.5
Akshaya Nagar,1430.0,2.0,2.0,75.0,3,5244.755244755244
Akshaya Nagar,1419.0,2.0,3.0,73.0,3,5144.46793516561
Akshaya Nagar,1280.0,2.0,1.0,60.0,2,4687.5
Akshaya Nagar,1200.0,2.0,1.0,50.0,2,4166.666666666667
Akshaya Nagar,1092.0,2.0,1.0,60.0,2,5494.505494505494
Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
Akshaya Nagar,1551.0,2.0,2.0,60.0,3,3868.4719535783365
Akshaya Nagar,1314.0,2.0,2.0,68.8,2,5235.920852359209
Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
Akshaya Nagar,1265.0,2.0,3.0,67.0,2,5296.442687747036
Akshaya Nagar,1126.0,2.0,1.0,55.0,2,4884.547069271758
Akshaya Nagar,1420.0,2.0,2.0,75.0,3,5281.69014084507
Akshaya Nagar,1412.0,2.0,3.0,88.0,3,6232.294617563739
Akshaya Nagar,1434.0,3.0,3.0,84.0,3,5857.740585774059
Akshaya Nagar,1419.0,2.0,3.0,87.0,3,6131.0782241014795
Akshaya Nagar,1300.0,2.0,1.0,54.0,2,4153.846153846154
Akshaya Nagar,1690.0,3.0,2.0,85.0,3,5029.585798816568
Akshaya Nagar,1000.0,2.0,1.0,38.0,2,3800.0
Akshaya Nagar,1113.0,2.0,1.0,52.0,2,4672.057502246182
Akshaya Nagar,1100.0,2.0,2.0,48.0,2,4363.636363636364
Akshaya Nagar,1300.0,2.0,2.0,66.0,2,5076.923076923077
Akshaya Nagar,1179.0,2.0,1.0,51.0,2,4325.699745547074
Akshaya Nagar,1421.0,2.0,2.0,73.0,3,5137.227304714989
Akshaya Nagar,1200.0,2.0,2.0,45.0,2,3750.0
Akshaya Nagar,900.0,2.0,1.0,45.0,2,5000.0
Ambalipura,1105.0,2.0,1.0,75.0,2,6787.330316742082
Ambalipura,1800.0,3.0,3.0,110.0,3,6111.111111111111
Ambalipura,1150.0,2.0,2.0,80.0,2,6956.521739130435
Ambalipura,1250.0,2.0,2.0,66.25,2,5300.0
Ambalipura,1230.0,2.0,2.0,66.25,2,5386.178861788618
Ambalipura,1303.0,2.0,2.0,80.0,2,6139.677666922486
Ambalipura,770.0,1.0,2.0,43.82,1,5690.909090909091
Ambalipura,1060.0,2.0,1.0,58.5,2,5518.867924528302
Ambalipura,1650.0,3.0,3.0,100.0,3,6060.606060606061
Ambalipura,1198.0,2.0,2.0,80.0,2,6677.79632721202
Ambedkar Nagar,1850.0,4.0,3.0,139.0,3,7513.513513513513
Amruthahalli,900.0,2.0,1.0,40.0,2,4444.444444444444
Amruthahalli,1200.0,2.0,2.0,55.0,2,4583.333333333333
Amruthahalli,924.0,2.0,1.0,45.0,2,4870.12987012987
Amruthahalli,900.0,2.0,1.0,60.0,2,6666.666666666667
Amruthahalli,1100.0,2.0,1.0,45.0,2,4090.909090909091
Amruthahalli,1200.0,2.0,1.0,55.0,2,4583.333333333333
Amruthahalli,1350.0,2.0,3.0,63.0,3,4666.666666666667
Amruthahalli,1605.0,3.0,2.0,65.0,3,4049.8442367601247
Amruthahalli,1700.0,3.0,2.0,77.0,3,4529.411764705882
Amruthahalli,1450.0,2.0,1.0,85.0,3,5862.068965517241
Amruthahalli,1200.0,2.0,2.0,55.0,2,4583.333333333333
Amruthahalli,1250.0,2.0,2.0,79.0,2,6320.0
Amruthahalli,1190.0,2.0,2.0,50.0,2,4201.680672268908
Amruthahalli,1202.0,2.0,1.0,65.0,2,5407.65391014975
Amruthahalli,1450.0,2.0,1.0,90.0,3,6206.896551724138
Amruthahalli,1025.0,2.0,1.0,42.0,2,4097.5609756097565
Amruthahalli,485.0,1.0,1.0,19.5,1,4020.618556701031
Anandapura,1167.0,2.0,1.0,43.76,2,3749.7857754927163
Anandapura,1000.0,2.0,1.0,55.0,2,5500.0
Anandapura,1141.0,2.0,1.0,42.79,2,3750.219106047327
Anandapura,1576.0,3.0,2.0,59.1,3,3750.0
Anandapura,1200.0,2.0,1.0,67.0,2,5583.333333333333
Anandapura,1200.0,2.0,1.0,58.0,2,4833.333333333333
Anandapura,1151.0,2.0,1.0,43.1,2,3744.5699391833186
Anandapura,1141.0,2.0,1.0,42.75,2,3746.7134092900965
Anandapura,900.0,2.0,0.0,48.0,2,5333.333333333333
Anandapura,1749.0,4.0,0.0,90.0,4,5145.797598627787
Anandapura,1151.0,2.0,1.0,42.9,2,3727.193744569939
Anandapura,1576.0,3.0,2.0,58.0,3,3680.203045685279
Anandapura,1250.0,2.0,2.0,45.0,2,3600.0
Anandapura,875.0,2.0,1.0,57.0,2,6514.285714285715
Anandapura,1151.0,2.0,1.0,43.16,2,3749.7827975673326
Anandapura,1200.0,2.0,0.0,58.0,2,4833.333333333333
Anandapura,1200.0,2.0,0.0,66.0,3,5500.0
Anandapura,1415.0,2.0,1.0,74.0,3,5229.681978798587
Anandapura,1200.0,2.0,1.0,50.0,2,4166.666666666667
Anandapura,1141.0,2.0,1.0,50.0,2,4382.120946538124
Anandapura,1576.0,3.0,2.0,58.7,3,3724.6192893401017
Ananth Nagar,500.0,1.0,1.0,14.0,1,2800.0
Ananth Nagar,1100.0,2.0,2.0,31.5,2,2863.6363636363635
Ananth Nagar,982.0,2.0,2.0,24.55,2,2500.0
Ananth Nagar,500.0,2.0,2.0,14.0,1,2800.0
Ananth Nagar,900.0,2.0,2.0,22.5,2,2500.0
Ananth Nagar,908.0,2.0,1.0,26.0,2,2863.4361233480176
Ananth Nagar,870.0,2.0,2.0,36.0,2,4137.931034482759
Ananth Nagar,937.0,2.0,1.0,35.0,2,3735.325506937033
Ananth Nagar,960.0,2.0,3.0,37.0,2,3854.1666666666665
Ananth Nagar,500.0,1.0,1.0,14.0,1,2800.0
Ananth Nagar,1000.0,2.0,1.0,29.7,2,2970.0
Ananth Nagar,850.0,2.0,1.0,25.99,2,3057.6470588235293
Ananth Nagar,902.0,2.0,1.0,25.26,2,2800.4434589800444
Ananth Nagar,1470.0,3.0,2.0,54.0,3,3673.469387755102
Ananth Nagar,810.0,2.0,1.0,25.5,2,3148.1481481481483
Ananth Nagar,890.0,2.0,1.0,27.0,2,3033.7078651685392
Ananth Nagar,1200.0,2.0,1.0,36.0,2,3000.0
Ananth Nagar,1319.0,3.0,1.0,37.75,3,2862.016679302502
Ananth Nagar,1319.0,3.0,1.0,42.0,3,3184.230477634572
Ananth Nagar,1000.0,2.0,3.0,25.0,2,2500.0
Ananth Nagar,902.0,2.0,2.0,25.0,2,2771.6186252771618
Ananth Nagar,930.0,2.0,1.0,25.99,2,2794.6236559139784
Ananth Nagar,1074.0,2.0,2.0,26.85,2,2500.0
Ananth Nagar,500.0,1.0,1.0,14.0,1,2800.0
Ananth Nagar,1010.0,2.0,2.0,38.0,2,3762.3762376237623
Ananth Nagar,992.0,2.0,2.0,24.8,2,2500.0
Anekal,1200.0,1.0,1.0,36.0,2,3000.0
Anekal,656.0,2.0,1.0,22.0,2,3353.6585365853657
Anekal,620.0,2.0,1.0,22.0,2,3548.3870967741937
Anekal,600.0,1.0,1.0,16.5,1,2750.0
Anekal,925.0,2.0,1.0,40.0,2,4324.324324324324
Anekal,530.0,1.0,1.0,18.0,1,3396.2264150943397
Anekal,1200.0,1.0,1.0,36.0,2,3000.0
Anekal,1035.0,2.0,2.0,38.3,2,3700.483091787439
